"item","Qantity","price","link to buy"
"Pla+ filament","82gram","0.7$","https://india.numakers.com/products/pla-filament"
"Pla+ filament","15gram","0.1$","https://india.numakers.com/products/pla-filament"
"Total","97gram","0.8$","https://india.numakers.com/products/pla-filament"
